Red_X,Red_Y,Black_X,Black_Y,Deviation_X
107.0,278.0,168.0,278.0,61.0
109.0,279.0,169.0,279.0,60.0
111.0,280.0,169.0,280.0,58.0
113.0,281.0,169.0,281.0,56.0
115.0,282.0,170.0,282.0,55.0
117.0,283.0,171.0,283.0,54.0
118.0,284.0,172.0,284.0,54.0
118.0,285.0,172.0,285.0,54.0
119.0,286.0,172.0,286.0,53.0
119.0,287.0,173.0,287.0,54.0
119.0,288.0,173.0,288.0,54.0
120.0,289.0,174.0,289.0,54.0
142.0,290.0,175.0,290.0,33.0
144.0,291.0,175.0,291.0,31.0
152.0,292.0,175.0,292.0,23.0
153.0,293.0,176.0,293.0,23.0
156.0,294.0,176.0,294.0,20.0
167.0,295.0,177.0,295.0,10.0
172.0,296.0,178.0,296.0,6.0
176.0,297.0,180.0,297.0,4.0
239.0,298.0,182.0,298.0,57.0
243.0,299.0,179.0,299.0,64.0
245.0,300.0,181.0,300.0,64.0
247.0,301.0,185.0,301.0,62.0
251.0,302.0,187.0,302.0,64.0
256.0,303.0,188.0,303.0,68.0
260.0,304.0,190.0,304.0,70.0
261.0,305.0,191.0,305.0,70.0
265.0,306.0,192.0,306.0,73.0
271.0,307.0,193.0,307.0,78.0
273.0,308.0,194.0,308.0,79.0
276.0,309.0,195.0,309.0,81.0
277.0,310.0,196.0,310.0,81.0
279.0,311.0,198.0,311.0,81.0
283.0,312.0,200.0,312.0,83.0
285.0,313.0,202.0,313.0,83.0
287.0,314.0,203.0,314.0,84.0
290.0,315.0,205.0,315.0,85.0
292.0,316.0,206.0,316.0,86.0
294.0,317.0,208.0,317.0,86.0
296.0,318.0,209.0,318.0,87.0
299.0,319.0,211.0,319.0,88.0
301.0,320.0,212.0,320.0,89.0
303.0,321.0,214.0,321.0,89.0
305.0,322.0,215.0,322.0,90.0
308.0,323.0,217.0,323.0,91.0
310.0,324.0,219.0,324.0,91.0
312.0,325.0,220.0,325.0,92.0
313.0,326.0,221.0,326.0,92.0
313.0,327.0,223.0,327.0,90.0
314.0,328.0,225.0,328.0,89.0
315.0,329.0,226.0,329.0,89.0
316.0,330.0,228.0,330.0,88.0
316.0,331.0,229.0,331.0,87.0
317.0,332.0,231.0,332.0,86.0
334.0,333.0,232.0,333.0,102.0
346.0,334.0,234.0,334.0,112.0
348.0,335.0,235.0,335.0,113.0
350.0,336.0,237.0,336.0,113.0
353.0,337.0,238.0,337.0,115.0
356.0,338.0,240.0,338.0,116.0
360.0,339.0,241.0,339.0,119.0
364.0,340.0,243.0,340.0,121.0
367.0,341.0,244.0,341.0,123.0
369.0,342.0,246.0,342.0,123.0
371.0,343.0,248.0,343.0,123.0
373.0,344.0,249.0,344.0,124.0
376.0,345.0,251.0,345.0,125.0
379.0,346.0,252.0,346.0,127.0
382.0,347.0,254.0,347.0,128.0
384.0,348.0,255.0,348.0,129.0
386.0,349.0,257.0,349.0,129.0
388.0,350.0,258.0,350.0,130.0
390.0,351.0,259.0,351.0,131.0
393.0,352.0,261.0,352.0,132.0
395.0,353.0,263.0,353.0,132.0
398.0,354.0,264.0,354.0,134.0
401.0,355.0,266.0,355.0,135.0
404.0,356.0,267.0,356.0,137.0
405.0,357.0,269.0,357.0,136.0
407.0,358.0,270.0,358.0,137.0
408.0,359.0,271.0,359.0,137.0
410.0,360.0,272.0,360.0,138.0
411.0,361.0,274.0,361.0,137.0
413.0,362.0,275.0,362.0,138.0
416.0,363.0,277.0,363.0,139.0
418.0,364.0,279.0,364.0,139.0
420.0,365.0,280.0,365.0,140.0
422.0,366.0,281.0,366.0,141.0
424.0,367.0,283.0,367.0,141.0
426.0,368.0,284.0,368.0,142.0
428.0,369.0,285.0,369.0,143.0
430.0,370.0,287.0,370.0,143.0
432.0,371.0,288.0,371.0,144.0
434.0,372.0,289.0,372.0,145.0
436.0,373.0,291.0,373.0,145.0
439.0,374.0,292.0,374.0,147.0
440.0,375.0,293.0,375.0,147.0
441.0,376.0,294.0,376.0,147.0
443.0,377.0,296.0,377.0,147.0
444.0,378.0,297.0,378.0,147.0
445.0,379.0,298.0,379.0,147.0
447.0,380.0,300.0,380.0,147.0
448.0,381.0,301.0,381.0,147.0
449.0,382.0,302.0,382.0,147.0
451.0,383.0,304.0,383.0,147.0
452.0,384.0,305.0,384.0,147.0
462.0,385.0,306.0,385.0,156.0
465.0,386.0,308.0,386.0,157.0
467.0,387.0,309.0,387.0,158.0
470.0,388.0,310.0,388.0,160.0
471.0,389.0,312.0,389.0,159.0
473.0,390.0,313.0,390.0,160.0
474.0,391.0,314.0,391.0,160.0
476.0,392.0,315.0,392.0,161.0
477.0,393.0,316.0,393.0,161.0
479.0,394.0,318.0,394.0,161.0
482.0,395.0,319.0,395.0,163.0
483.0,396.0,320.0,396.0,163.0
485.0,397.0,322.0,397.0,163.0
486.0,398.0,323.0,398.0,163.0
487.0,399.0,324.0,399.0,163.0
488.0,400.0,325.0,400.0,163.0
490.0,401.0,327.0,401.0,163.0
491.0,402.0,328.0,402.0,163.0
492.0,403.0,329.0,403.0,163.0
494.0,404.0,330.0,404.0,164.0
496.0,405.0,332.0,405.0,164.0
498.0,406.0,333.0,406.0,165.0
499.0,407.0,334.0,407.0,165.0
501.0,408.0,336.0,408.0,165.0
502.0,409.0,337.0,409.0,165.0
503.0,410.0,338.0,410.0,165.0
504.0,411.0,340.0,411.0,164.0
505.0,412.0,341.0,412.0,164.0
506.0,413.0,342.0,413.0,164.0
507.0,414.0,343.0,414.0,164.0
508.0,415.0,345.0,415.0,163.0
510.0,416.0,346.0,416.0,164.0
511.0,417.0,347.0,417.0,164.0
513.0,418.0,349.0,418.0,164.0
514.0,419.0,350.0,419.0,164.0
516.0,420.0,352.0,420.0,164.0
517.0,421.0,353.0,421.0,164.0
519.0,422.0,354.0,422.0,165.0
520.0,423.0,355.0,423.0,165.0
521.0,424.0,357.0,424.0,164.0
522.0,425.0,358.0,425.0,164.0
523.0,426.0,359.0,426.0,164.0
524.0,427.0,361.0,427.0,163.0
525.0,428.0,362.0,428.0,163.0
527.0,429.0,363.0,429.0,164.0
528.0,430.0,365.0,430.0,163.0
530.0,431.0,366.0,431.0,164.0
531.0,432.0,367.0,432.0,164.0
532.0,433.0,368.0,433.0,164.0
534.0,434.0,370.0,434.0,164.0
535.0,435.0,370.0,435.0,165.0
536.0,436.0,372.0,436.0,164.0
538.0,437.0,373.0,437.0,165.0
539.0,438.0,375.0,438.0,164.0
540.0,439.0,376.0,439.0,164.0
541.0,440.0,377.0,440.0,164.0
543.0,441.0,378.0,441.0,165.0
544.0,442.0,380.0,442.0,164.0
545.0,443.0,381.0,443.0,164.0
546.0,444.0,382.0,444.0,164.0
547.0,445.0,384.0,445.0,163.0
548.0,446.0,385.0,446.0,163.0
549.0,447.0,386.0,447.0,163.0
550.0,448.0,388.0,448.0,162.0
551.0,449.0,389.0,449.0,162.0
553.0,450.0,390.0,450.0,163.0
554.0,451.0,391.0,451.0,163.0
555.0,452.0,392.0,452.0,163.0
556.0,453.0,394.0,453.0,162.0
557.0,454.0,395.0,454.0,162.0
558.0,455.0,396.0,455.0,162.0
559.0,456.0,398.0,456.0,161.0
560.0,457.0,399.0,457.0,161.0
561.0,458.0,400.0,458.0,161.0
563.0,459.0,401.0,459.0,162.0
564.0,460.0,403.0,460.0,161.0
565.0,461.0,404.0,461.0,161.0
567.0,462.0,405.0,462.0,162.0
568.0,463.0,406.0,463.0,162.0
569.0,464.0,408.0,464.0,161.0
569.0,465.0,409.0,465.0,160.0
570.0,466.0,410.0,466.0,160.0
571.0,467.0,411.0,467.0,160.0
572.0,468.0,413.0,468.0,159.0
573.0,469.0,414.0,469.0,159.0
574.0,470.0,415.0,470.0,159.0
575.0,471.0,416.0,471.0,159.0
576.0,472.0,418.0,472.0,158.0
577.0,473.0,419.0,473.0,158.0
578.0,474.0,420.0,474.0,158.0
579.0,475.0,421.0,475.0,158.0
579.0,476.0,423.0,476.0,156.0
580.0,477.0,424.0,477.0,156.0
581.0,478.0,425.0,478.0,156.0
582.0,479.0,426.0,479.0,156.0
583.0,480.0,428.0,480.0,155.0
584.0,481.0,429.0,481.0,155.0
585.0,482.0,430.0,482.0,155.0
586.0,483.0,431.0,483.0,155.0
587.0,484.0,433.0,484.0,154.0
588.0,485.0,434.0,485.0,154.0
589.0,486.0,435.0,486.0,154.0
590.0,487.0,437.0,487.0,153.0
591.0,488.0,438.0,488.0,153.0
592.0,489.0,439.0,489.0,153.0
593.0,490.0,440.0,490.0,153.0
594.0,491.0,442.0,491.0,152.0
595.0,492.0,443.0,492.0,152.0
596.0,493.0,444.0,493.0,152.0
597.0,494.0,445.0,494.0,152.0
597.0,495.0,447.0,495.0,150.0
598.0,496.0,448.0,496.0,150.0
599.0,497.0,449.0,497.0,150.0
600.0,498.0,451.0,498.0,149.0
600.0,499.0,452.0,499.0,148.0
601.0,500.0,453.0,500.0,148.0
602.0,501.0,454.0,501.0,148.0
602.0,502.0,456.0,502.0,146.0
603.0,503.0,457.0,503.0,146.0
604.0,504.0,458.0,504.0,146.0
604.0,505.0,459.0,505.0,145.0
604.0,506.0,461.0,506.0,143.0
