Red_X,Red_Y,Black_X,Black_Y,Deviation_X
120.0,270.0,167.0,280.0,47.0
122.0,271.0,168.0,281.0,46.0
123.0,272.0,168.0,282.0,45.0
125.0,273.0,168.0,283.0,43.0
126.0,274.0,169.0,284.0,43.0
128.0,275.0,170.0,285.0,42.0
130.0,276.0,171.0,286.0,41.0
131.0,277.0,171.0,287.0,40.0
133.0,278.0,171.0,288.0,38.0
134.0,279.0,172.0,289.0,38.0
136.0,280.0,172.0,290.0,36.0
137.0,281.0,173.0,291.0,36.0
139.0,282.0,174.0,292.0,35.0
141.0,283.0,174.0,293.0,33.0
143.0,284.0,174.0,294.0,31.0
145.0,285.0,175.0,295.0,30.0
146.0,286.0,175.0,296.0,29.0
149.0,287.0,176.0,297.0,27.0
152.0,288.0,176.0,298.0,24.0
156.0,289.0,179.0,299.0,23.0
160.0,290.0,181.0,300.0,21.0
163.0,291.0,182.0,301.0,19.0
164.0,292.0,179.0,302.0,15.0
167.0,293.0,184.0,303.0,17.0
175.0,294.0,186.0,304.0,11.0
176.0,295.0,187.0,305.0,11.0
178.0,296.0,189.0,306.0,11.0
179.0,297.0,190.0,307.0,11.0
181.0,298.0,191.0,308.0,10.0
183.0,299.0,192.0,309.0,9.0
186.0,300.0,193.0,310.0,7.0
187.0,301.0,194.0,311.0,7.0
190.0,302.0,195.0,312.0,5.0
195.0,303.0,197.0,313.0,2.0
200.0,304.0,199.0,314.0,1.0
210.0,305.0,201.0,315.0,9.0
212.0,306.0,202.0,316.0,10.0
214.0,307.0,204.0,317.0,10.0
215.0,308.0,205.0,318.0,10.0
215.0,309.0,207.0,319.0,8.0
215.0,310.0,208.0,320.0,7.0
216.0,311.0,210.0,321.0,6.0
219.0,312.0,211.0,322.0,8.0
221.0,313.0,213.0,323.0,8.0
225.0,314.0,214.0,324.0,11.0
228.0,315.0,216.0,325.0,12.0
230.0,316.0,218.0,326.0,12.0
233.0,317.0,219.0,327.0,14.0
241.0,318.0,220.0,328.0,21.0
242.0,319.0,222.0,329.0,20.0
244.0,320.0,224.0,330.0,20.0
245.0,321.0,225.0,331.0,20.0
248.0,322.0,227.0,332.0,21.0
249.0,323.0,228.0,333.0,21.0
251.0,324.0,230.0,334.0,21.0
252.0,325.0,231.0,335.0,21.0
254.0,326.0,233.0,336.0,21.0
255.0,327.0,234.0,337.0,21.0
258.0,328.0,236.0,338.0,22.0
259.0,329.0,237.0,339.0,22.0
261.0,330.0,239.0,340.0,22.0
262.0,331.0,240.0,341.0,22.0
263.0,332.0,242.0,342.0,21.0
265.0,333.0,243.0,343.0,22.0
267.0,334.0,245.0,344.0,22.0
268.0,335.0,247.0,345.0,21.0
271.0,336.0,248.0,346.0,23.0
276.0,337.0,250.0,347.0,26.0
277.0,338.0,251.0,348.0,26.0
278.0,339.0,253.0,349.0,25.0
279.0,340.0,254.0,350.0,25.0
282.0,341.0,256.0,351.0,26.0
283.0,342.0,257.0,352.0,26.0
284.0,343.0,258.0,353.0,26.0
285.0,344.0,260.0,354.0,25.0
286.0,345.0,262.0,355.0,24.0
288.0,346.0,263.0,356.0,25.0
291.0,347.0,265.0,357.0,26.0
292.0,348.0,266.0,358.0,26.0
293.0,349.0,268.0,359.0,25.0
294.0,350.0,269.0,360.0,25.0
296.0,351.0,270.0,361.0,26.0
298.0,352.0,271.0,362.0,27.0
300.0,353.0,273.0,363.0,27.0
301.0,354.0,274.0,364.0,27.0
301.0,355.0,276.0,365.0,25.0
301.0,356.0,278.0,366.0,23.0
302.0,357.0,279.0,367.0,23.0
303.0,358.0,280.0,368.0,23.0
304.0,359.0,282.0,369.0,22.0
304.0,360.0,283.0,370.0,21.0
305.0,361.0,284.0,371.0,21.0
