Red_X,Red_Y,Black_X,Black_Y,Deviation_X
285.0,580.0,485.0,654.0,200.0
292.0,581.0,414.0,655.0,122.0
308.0,582.0,366.0,656.0,58.0
316.0,583.0,386.0,657.0,70.0
324.0,584.0,355.0,658.0,31.0
331.0,585.0,403.0,659.0,72.0
336.0,586.0,437.0,660.0,101.0
340.0,587.0,419.0,661.0,79.0
353.0,588.0,409.0,662.0,56.0
355.0,589.0,362.0,663.0,7.0
358.0,590.0,386.0,664.0,28.0
362.0,591.0,433.0,665.0,71.0
365.0,592.0,480.0,666.0,115.0
368.0,593.0,439.0,667.0,71.0
372.0,594.0,391.0,668.0,19.0
375.0,595.0,358.0,669.0,17.0
379.0,596.0,484.0,670.0,105.0
382.0,597.0,484.0,671.0,102.0
386.0,598.0,484.0,672.0,98.0
389.0,599.0,484.0,673.0,95.0
393.0,600.0,485.0,674.0,92.0
396.0,601.0,485.0,675.0,89.0
400.0,602.0,485.0,676.0,85.0
402.0,603.0,485.0,677.0,83.0
405.0,604.0,485.0,678.0,80.0
407.0,605.0,485.0,679.0,78.0
410.0,606.0,485.0,680.0,75.0
412.0,607.0,485.0,681.0,73.0
415.0,608.0,485.0,682.0,70.0
418.0,609.0,485.0,683.0,67.0
420.0,610.0,485.0,684.0,65.0
421.0,611.0,485.0,685.0,64.0
423.0,612.0,485.0,686.0,62.0
425.0,613.0,485.0,687.0,60.0
427.0,614.0,485.0,688.0,58.0
429.0,615.0,485.0,689.0,56.0
431.0,616.0,485.0,690.0,54.0
433.0,617.0,485.0,691.0,52.0
435.0,618.0,485.0,692.0,50.0
437.0,619.0,485.0,693.0,48.0
439.0,620.0,485.0,694.0,46.0
441.0,621.0,485.0,695.0,44.0
443.0,622.0,486.0,696.0,43.0
445.0,623.0,486.0,697.0,41.0
448.0,624.0,486.0,698.0,38.0
451.0,625.0,486.0,699.0,35.0
454.0,626.0,486.0,700.0,32.0
456.0,627.0,486.0,701.0,30.0
459.0,628.0,486.0,702.0,27.0
461.0,629.0,486.0,703.0,25.0
463.0,630.0,486.0,704.0,23.0
466.0,631.0,486.0,705.0,20.0
468.0,632.0,486.0,706.0,18.0
470.0,633.0,486.0,707.0,16.0
472.0,634.0,486.0,708.0,14.0
