Red_X,Red_Y,Black_X,Black_Y,Deviation_X
187.0,453.0,206.0,478.0,19.0
197.0,454.0,207.0,479.0,10.0
200.0,455.0,206.0,480.0,6.0
201.0,456.0,206.0,481.0,5.0
204.0,457.0,206.0,482.0,2.0
229.0,458.0,207.0,483.0,22.0
231.0,459.0,207.0,484.0,24.0
234.0,460.0,208.0,485.0,26.0
239.0,461.0,210.0,486.0,29.0
248.0,462.0,211.0,487.0,37.0
252.0,463.0,210.0,488.0,42.0
260.0,464.0,209.0,489.0,51.0
263.0,465.0,209.0,490.0,54.0
267.0,466.0,210.0,491.0,57.0
270.0,467.0,210.0,492.0,60.0
274.0,468.0,210.0,493.0,64.0
277.0,469.0,211.0,494.0,66.0
280.0,470.0,211.0,495.0,69.0
284.0,471.0,211.0,496.0,73.0
285.0,472.0,211.0,497.0,74.0
287.0,473.0,211.0,498.0,76.0
288.0,474.0,211.0,499.0,77.0
290.0,475.0,211.0,500.0,79.0
290.0,476.0,211.0,501.0,79.0
290.0,477.0,211.0,502.0,79.0
312.0,478.0,213.0,503.0,99.0
314.0,479.0,214.0,504.0,100.0
318.0,480.0,220.0,505.0,98.0
330.0,481.0,234.0,506.0,96.0
335.0,482.0,248.0,507.0,87.0
340.0,483.0,256.0,508.0,84.0
341.0,484.0,257.0,509.0,84.0
348.0,485.0,258.0,510.0,90.0
350.0,486.0,259.0,511.0,91.0
353.0,487.0,260.0,512.0,93.0
356.0,488.0,261.0,513.0,95.0
358.0,489.0,262.0,514.0,96.0
362.0,490.0,263.0,515.0,99.0
366.0,491.0,264.0,516.0,102.0
368.0,492.0,265.0,517.0,103.0
370.0,493.0,265.0,518.0,105.0
372.0,494.0,266.0,519.0,106.0
375.0,495.0,267.0,520.0,108.0
380.0,496.0,268.0,521.0,112.0
385.0,497.0,270.0,522.0,115.0
386.0,498.0,270.0,523.0,116.0
389.0,499.0,273.0,524.0,116.0
392.0,500.0,275.0,525.0,117.0
394.0,501.0,277.0,526.0,117.0
396.0,502.0,300.0,527.0,96.0
398.0,503.0,300.0,528.0,98.0
402.0,504.0,299.0,529.0,103.0
406.0,505.0,297.0,530.0,109.0
407.0,506.0,306.0,531.0,101.0
408.0,507.0,303.0,532.0,105.0
409.0,508.0,305.0,533.0,104.0
413.0,509.0,306.0,534.0,107.0
415.0,510.0,307.0,535.0,108.0
417.0,511.0,309.0,536.0,108.0
419.0,512.0,310.0,537.0,109.0
421.0,513.0,311.0,538.0,110.0
423.0,514.0,311.0,539.0,112.0
425.0,515.0,312.0,540.0,113.0
