Red_X,Red_Y,Black_X,Black_Y,Deviation_X
169.0,419.0,207.0,476.0,38.0
187.0,420.0,208.0,477.0,21.0
190.0,421.0,207.0,478.0,17.0
203.0,422.0,207.0,479.0,4.0
204.0,423.0,207.0,480.0,3.0
205.0,424.0,208.0,481.0,3.0
209.0,425.0,208.0,482.0,1.0
240.0,426.0,209.0,483.0,31.0
254.0,427.0,211.0,484.0,43.0
259.0,428.0,212.0,485.0,47.0
264.0,429.0,211.0,486.0,53.0
269.0,430.0,210.0,487.0,59.0
273.0,431.0,210.0,488.0,63.0
281.0,432.0,211.0,489.0,70.0
286.0,433.0,211.0,490.0,75.0
294.0,434.0,211.0,491.0,83.0
296.0,435.0,212.0,492.0,84.0
303.0,436.0,212.0,493.0,91.0
304.0,437.0,212.0,494.0,92.0
310.0,438.0,212.0,495.0,98.0
311.0,439.0,212.0,496.0,99.0
318.0,440.0,212.0,497.0,106.0
319.0,441.0,212.0,498.0,107.0
324.0,442.0,212.0,499.0,112.0
325.0,443.0,212.0,500.0,113.0
333.0,444.0,214.0,501.0,119.0
334.0,445.0,215.0,502.0,119.0
342.0,446.0,221.0,503.0,121.0
344.0,447.0,235.0,504.0,109.0
348.0,448.0,249.0,505.0,99.0
353.0,449.0,257.0,506.0,96.0
358.0,450.0,258.0,507.0,100.0
360.0,451.0,259.0,508.0,101.0
364.0,452.0,260.0,509.0,104.0
367.0,453.0,261.0,510.0,106.0
369.0,454.0,262.0,511.0,107.0
373.0,455.0,263.0,512.0,110.0
376.0,456.0,264.0,513.0,112.0
378.0,457.0,265.0,514.0,113.0
380.0,458.0,266.0,515.0,114.0
382.0,459.0,266.0,516.0,116.0
385.0,460.0,267.0,517.0,118.0
387.0,461.0,268.0,518.0,119.0
390.0,462.0,269.0,519.0,121.0
394.0,463.0,271.0,520.0,123.0
397.0,464.0,271.0,521.0,126.0
399.0,465.0,274.0,522.0,125.0
401.0,466.0,276.0,523.0,125.0
403.0,467.0,278.0,524.0,125.0
405.0,468.0,301.0,525.0,104.0
408.0,469.0,301.0,526.0,107.0
411.0,470.0,300.0,527.0,111.0
413.0,471.0,298.0,528.0,115.0
415.0,472.0,307.0,529.0,108.0
418.0,473.0,304.0,530.0,114.0
420.0,474.0,306.0,531.0,114.0
423.0,475.0,307.0,532.0,116.0
424.0,476.0,308.0,533.0,116.0
425.0,477.0,310.0,534.0,115.0
426.0,478.0,311.0,535.0,115.0
428.0,479.0,312.0,536.0,116.0
429.0,480.0,312.0,537.0,117.0
430.0,481.0,313.0,538.0,117.0
431.0,482.0,314.0,539.0,117.0
432.0,483.0,313.0,540.0,119.0
434.0,484.0,313.0,541.0,121.0
435.0,485.0,313.0,542.0,122.0
436.0,486.0,313.0,543.0,123.0
437.0,487.0,317.0,544.0,120.0
438.0,488.0,319.0,545.0,119.0
439.0,489.0,319.0,546.0,120.0
441.0,490.0,320.0,547.0,121.0
442.0,491.0,324.0,548.0,118.0
443.0,492.0,326.0,549.0,117.0
444.0,493.0,328.0,550.0,116.0
445.0,494.0,330.0,551.0,115.0
447.0,495.0,332.0,552.0,115.0
448.0,496.0,334.0,553.0,114.0
448.0,497.0,335.0,554.0,113.0
464.0,498.0,337.0,555.0,127.0
466.0,499.0,339.0,556.0,127.0
469.0,500.0,341.0,557.0,128.0
470.0,501.0,343.0,558.0,127.0
472.0,502.0,344.0,559.0,128.0
473.0,503.0,346.0,560.0,127.0
474.0,504.0,348.0,561.0,126.0
476.0,505.0,350.0,562.0,126.0
479.0,506.0,352.0,563.0,127.0
480.0,507.0,354.0,564.0,126.0
482.0,508.0,355.0,565.0,127.0
484.0,509.0,357.0,566.0,127.0
485.0,510.0,359.0,567.0,126.0
487.0,511.0,361.0,568.0,126.0
488.0,512.0,363.0,569.0,125.0
488.0,513.0,365.0,570.0,123.0
489.0,514.0,366.0,571.0,123.0
491.0,515.0,368.0,572.0,123.0
495.0,516.0,370.0,573.0,125.0
496.0,517.0,371.0,574.0,125.0
497.0,518.0,372.0,575.0,125.0
498.0,519.0,374.0,576.0,124.0
499.0,520.0,376.0,577.0,123.0
500.0,521.0,378.0,578.0,122.0
502.0,522.0,380.0,579.0,122.0
503.0,523.0,382.0,580.0,121.0
504.0,524.0,385.0,581.0,119.0
506.0,525.0,387.0,582.0,119.0
507.0,526.0,389.0,583.0,118.0
509.0,527.0,391.0,584.0,118.0
510.0,528.0,393.0,585.0,117.0
512.0,529.0,394.0,586.0,118.0
512.0,530.0,397.0,587.0,115.0
513.0,531.0,399.0,588.0,114.0
514.0,532.0,401.0,589.0,113.0
515.0,533.0,403.0,590.0,112.0
517.0,534.0,404.0,591.0,113.0
518.0,535.0,406.0,592.0,112.0
519.0,536.0,408.0,593.0,111.0
520.0,537.0,409.0,594.0,111.0
522.0,538.0,411.0,595.0,111.0
523.0,539.0,412.0,596.0,111.0
525.0,540.0,415.0,597.0,110.0
528.0,541.0,416.0,598.0,112.0
529.0,542.0,418.0,599.0,111.0
531.0,543.0,421.0,600.0,110.0
532.0,544.0,423.0,601.0,109.0
533.0,545.0,425.0,602.0,108.0
535.0,546.0,427.0,603.0,108.0
536.0,547.0,429.0,604.0,107.0
537.0,548.0,431.0,605.0,106.0
537.0,549.0,433.0,606.0,104.0
538.0,550.0,435.0,607.0,103.0
539.0,551.0,437.0,608.0,102.0
540.0,552.0,439.0,609.0,101.0
541.0,553.0,441.0,610.0,100.0
542.0,554.0,443.0,611.0,99.0
543.0,555.0,445.0,612.0,98.0
546.0,556.0,447.0,613.0,99.0
547.0,557.0,449.0,614.0,98.0
547.0,558.0,451.0,615.0,96.0
548.0,559.0,453.0,616.0,95.0
548.0,560.0,455.0,617.0,93.0
549.0,561.0,457.0,618.0,92.0
550.0,562.0,459.0,619.0,91.0
554.0,563.0,460.0,620.0,94.0
555.0,564.0,463.0,621.0,92.0
555.0,565.0,465.0,622.0,90.0
556.0,566.0,467.0,623.0,89.0
557.0,567.0,469.0,624.0,88.0
558.0,568.0,471.0,625.0,87.0
559.0,569.0,472.0,626.0,87.0
559.0,570.0,473.0,627.0,86.0
559.0,571.0,476.0,628.0,83.0
560.0,572.0,478.0,629.0,82.0
561.0,573.0,480.0,630.0,81.0
562.0,574.0,482.0,631.0,80.0
564.0,575.0,484.0,632.0,80.0
565.0,576.0,485.0,633.0,80.0
566.0,577.0,487.0,634.0,79.0
567.0,578.0,489.0,635.0,78.0
567.0,579.0,491.0,636.0,76.0
567.0,580.0,493.0,637.0,74.0
568.0,581.0,493.0,638.0,75.0
568.0,582.0,496.0,639.0,72.0
568.0,583.0,498.0,640.0,70.0
569.0,584.0,500.0,641.0,69.0
571.0,585.0,501.0,642.0,70.0
572.0,586.0,503.0,643.0,69.0
572.0,587.0,505.0,644.0,67.0
573.0,588.0,507.0,645.0,66.0
573.0,589.0,509.0,646.0,64.0
573.0,590.0,510.0,647.0,63.0
574.0,591.0,512.0,648.0,62.0
574.0,592.0,514.0,649.0,60.0
575.0,593.0,516.0,650.0,59.0
576.0,594.0,518.0,651.0,58.0
576.0,595.0,519.0,652.0,57.0
577.0,596.0,521.0,653.0,56.0
577.0,597.0,523.0,654.0,54.0
577.0,598.0,525.0,655.0,52.0
578.0,599.0,526.0,656.0,52.0
578.0,600.0,528.0,657.0,50.0
579.0,601.0,530.0,658.0,49.0
579.0,602.0,532.0,659.0,47.0
580.0,603.0,534.0,660.0,46.0
581.0,604.0,535.0,661.0,46.0
582.0,605.0,537.0,662.0,45.0
582.0,606.0,539.0,663.0,43.0
583.0,607.0,541.0,664.0,42.0
584.0,608.0,542.0,665.0,42.0
584.0,609.0,544.0,666.0,40.0
584.0,610.0,546.0,667.0,38.0
584.0,611.0,548.0,668.0,36.0
585.0,612.0,550.0,669.0,35.0
585.0,613.0,550.0,670.0,35.0
585.0,614.0,553.0,671.0,32.0
586.0,615.0,555.0,672.0,31.0
586.0,616.0,557.0,673.0,29.0
587.0,617.0,559.0,674.0,28.0
587.0,618.0,560.0,675.0,27.0
588.0,619.0,562.0,676.0,26.0
588.0,620.0,564.0,677.0,24.0
588.0,621.0,566.0,678.0,22.0
589.0,622.0,567.0,679.0,22.0
590.0,623.0,569.0,680.0,21.0
591.0,624.0,571.0,681.0,20.0
591.0,625.0,573.0,682.0,18.0
591.0,626.0,575.0,683.0,16.0
592.0,627.0,577.0,684.0,15.0
592.0,628.0,578.0,685.0,14.0
592.0,629.0,600.0,686.0,8.0
592.0,630.0,596.0,687.0,4.0
593.0,631.0,600.0,688.0,7.0
594.0,632.0,598.0,689.0,4.0
595.0,633.0,596.0,690.0,1.0
596.0,634.0,594.0,691.0,2.0
596.0,635.0,592.0,692.0,4.0
596.0,636.0,588.0,693.0,8.0
597.0,637.0,588.0,694.0,9.0
598.0,638.0,588.0,695.0,10.0
599.0,639.0,589.0,696.0,10.0
600.0,640.0,589.0,697.0,11.0
600.0,641.0,590.0,698.0,10.0
600.0,642.0,590.0,699.0,10.0
600.0,643.0,590.0,700.0,10.0
601.0,644.0,590.0,701.0,11.0
601.0,645.0,590.0,702.0,11.0
601.0,646.0,591.0,703.0,10.0
601.0,647.0,591.0,704.0,10.0
602.0,648.0,591.0,705.0,11.0
602.0,649.0,591.0,706.0,11.0
602.0,650.0,591.0,707.0,11.0
602.0,651.0,591.0,708.0,11.0
603.0,652.0,591.0,709.0,12.0
603.0,653.0,591.0,710.0,12.0
604.0,654.0,591.0,711.0,13.0
604.0,655.0,591.0,712.0,13.0
604.0,656.0,591.0,713.0,13.0
605.0,657.0,591.0,714.0,14.0
605.0,658.0,591.0,715.0,14.0
605.0,659.0,591.0,716.0,14.0
605.0,660.0,591.0,717.0,14.0
605.0,661.0,591.0,718.0,14.0
606.0,662.0,591.0,719.0,15.0
607.0,663.0,591.0,720.0,16.0
607.0,664.0,591.0,721.0,16.0
607.0,665.0,591.0,722.0,16.0
607.0,666.0,591.0,723.0,16.0
607.0,667.0,591.0,724.0,16.0
608.0,668.0,591.0,725.0,17.0
608.0,669.0,591.0,726.0,17.0
608.0,670.0,591.0,727.0,17.0
608.0,671.0,591.0,728.0,17.0
608.0,672.0,591.0,729.0,17.0
608.0,673.0,591.0,730.0,17.0
608.0,674.0,591.0,731.0,17.0
608.0,675.0,591.0,732.0,17.0
608.0,676.0,591.0,733.0,17.0
608.0,677.0,591.0,734.0,17.0
608.0,678.0,591.0,735.0,17.0
608.0,679.0,591.0,736.0,17.0
608.0,680.0,591.0,737.0,17.0
608.0,681.0,591.0,738.0,17.0
608.0,682.0,591.0,739.0,17.0
608.0,683.0,591.0,740.0,17.0
608.0,684.0,591.0,741.0,17.0
608.0,685.0,591.0,742.0,17.0
608.0,686.0,591.0,743.0,17.0
608.0,687.0,591.0,744.0,17.0
608.0,688.0,591.0,745.0,17.0
608.0,689.0,590.0,746.0,18.0
608.0,690.0,590.0,747.0,18.0
608.0,691.0,590.0,748.0,18.0
608.0,692.0,590.0,749.0,18.0
608.0,693.0,590.0,750.0,18.0
608.0,694.0,590.0,751.0,18.0
608.0,695.0,590.0,752.0,18.0
608.0,696.0,590.0,753.0,18.0
608.0,697.0,591.0,754.0,17.0
608.0,698.0,591.0,755.0,17.0
608.0,699.0,591.0,756.0,17.0
608.0,700.0,591.0,757.0,17.0
608.0,701.0,591.0,758.0,17.0
607.0,702.0,591.0,759.0,16.0
607.0,703.0,591.0,760.0,16.0
607.0,704.0,591.0,761.0,16.0
607.0,705.0,591.0,762.0,16.0
607.0,706.0,591.0,763.0,16.0
