Red_X,Red_Y,Black_X,Black_Y,Deviation_X
1254.0,214.0,1254.0,214.0,0.0
1255.0,215.0,1254.0,215.0,1.0
1254.0,216.0,1254.0,216.0,0.0
1250.0,217.0,1254.0,217.0,4.0
1244.0,218.0,1254.0,218.0,10.0
1238.0,219.0,1254.0,219.0,16.0
1231.0,220.0,1255.0,220.0,24.0
1225.0,221.0,1255.0,221.0,30.0
1219.0,222.0,1255.0,222.0,36.0
1213.0,223.0,1259.0,223.0,46.0
1206.0,224.0,1263.0,224.0,57.0
1200.0,225.0,1267.0,225.0,67.0
1194.0,226.0,1271.0,226.0,77.0
1187.0,227.0,1275.0,227.0,88.0
1181.0,228.0,1278.0,228.0,97.0
1175.0,229.0,1277.0,229.0,102.0
1168.0,230.0,1278.0,230.0,110.0
1162.0,231.0,1274.0,231.0,112.0
1156.0,232.0,1268.0,232.0,112.0
1150.0,233.0,1266.0,233.0,116.0
1143.0,234.0,1262.0,234.0,119.0
1137.0,235.0,1258.0,235.0,121.0
1131.0,236.0,1255.0,236.0,124.0
1124.0,237.0,1256.0,237.0,132.0
1118.0,238.0,1254.0,238.0,136.0
1112.0,239.0,1254.0,239.0,142.0
1105.0,240.0,1252.0,240.0,147.0
1099.0,241.0,1252.0,241.0,153.0
1093.0,242.0,1250.0,242.0,157.0
1087.0,243.0,1250.0,243.0,163.0
1080.0,244.0,1248.0,244.0,168.0
1074.0,245.0,1248.0,245.0,174.0
1068.0,246.0,1246.0,246.0,178.0
1061.0,247.0,1246.0,247.0,185.0
1055.0,248.0,1245.0,248.0,190.0
1049.0,249.0,1245.0,249.0,196.0
1043.0,250.0,1243.0,250.0,200.0
1036.0,251.0,1243.0,251.0,207.0
1030.0,252.0,1241.0,252.0,211.0
1024.0,253.0,1241.0,253.0,217.0
1017.0,254.0,1239.0,254.0,222.0
1011.0,255.0,1239.0,255.0,228.0
1005.0,256.0,1237.0,256.0,232.0
998.0,257.0,1238.0,257.0,240.0
992.0,258.0,1236.0,258.0,244.0
986.0,259.0,1236.0,259.0,250.0
980.0,260.0,1235.0,260.0,255.0
973.0,261.0,1234.0,261.0,261.0
967.0,262.0,1233.0,262.0,266.0
961.0,263.0,1232.0,263.0,271.0
954.0,264.0,1231.0,264.0,277.0
948.0,265.0,1230.0,265.0,282.0
942.0,266.0,1229.0,266.0,287.0
935.0,267.0,1229.0,267.0,294.0
929.0,268.0,1227.0,268.0,298.0
923.0,269.0,1227.0,269.0,304.0
917.0,270.0,1226.0,270.0,309.0
910.0,271.0,1225.0,271.0,315.0
904.0,272.0,1224.0,272.0,320.0
898.0,273.0,1223.0,273.0,325.0
891.0,274.0,1222.0,274.0,331.0
885.0,275.0,1221.0,275.0,336.0
879.0,276.0,1221.0,276.0,342.0
873.0,277.0,1220.0,277.0,347.0
866.0,278.0,1219.0,278.0,353.0
860.0,279.0,1217.0,279.0,357.0
854.0,280.0,1217.0,280.0,363.0
847.0,281.0,1216.0,281.0,369.0
841.0,282.0,1215.0,282.0,374.0
835.0,283.0,1214.0,283.0,379.0
828.0,284.0,1213.0,284.0,385.0
822.0,285.0,1212.0,285.0,390.0
816.0,286.0,1211.0,286.0,395.0
810.0,287.0,1209.0,287.0,399.0
807.0,288.0,1209.0,288.0,402.0
806.0,289.0,1208.0,289.0,402.0
804.0,290.0,1208.0,290.0,404.0
803.0,291.0,1206.0,291.0,403.0
802.0,292.0,1206.0,292.0,404.0
801.0,293.0,1204.0,293.0,403.0
